и	ˈi
ясеневого	ˈjasʲinʲivʌvʌ
синего	sʲˈinʲivʌ
ждущего	ʒdˈuɕivʌ
медного	mʲˈednʌvʌ
кабаньей	kabˈɑnjjij
белого	bʲˈeɭʌvʌ
орлиного	ʌrɭʲˈinʌvʌ
железной	ʒyɭʲˈeznʌj
снежного	sʲnʲˈeʒnʌvʌ
волчьего	vˈoɭtʃʲjjivʌ
лога	ɭˈoɡa
тонкой	tˈonkʌj
скобы	skˈoby
знойной	znˈojnʌj
ветреной	vʲˈetrʲinʌj
сгоревшего	zɡʌrʲˈefʃyvʌ
дубового	dubˈovʌvʌ
песчаного	pʲiɕˈɑnʌvʌ
светлого	svʲˈetɭʌvʌ
крылатого	kryɭˈɑtʌvʌ
осевшей	ʌsʲˈefʃyj
клина	kɭʲˈina
паромного	parˈomnʌvʌ
бродовой	brʌdˈovʌj
ельникового	jɪɭʲnʲikˈovʌvʌ
жаркого	ʒˈɑrkʌvʌ
подгорной	pʌdɡˈornʌj
дрожащего	drʌʒˈɑɕivʌ
облачного	ˈobɭʌtʃʲnʌvʌ
снежной	sʲnʲˈeʒnʌj
речного	rʲitʃʲnˈovʌ
смоляного	smʌɭʲanˈovʌ
солнечного	sˈoɭnʲitʃʲnʌvʌ
столпа	stʌɭpˈɑ
перста	pʲirstˈɑ
рубежа	rubʲiʒˈɑ
восточного	vʌstˈotʃʲnʌvʌ
парома	parˈoma
хвойной	xvˈojnʌj
караванного	kʌravˈɑnnʌvʌ
штольного	ʃtʌɭʲnˈovʌ
ржавых	rʒˈɑvyx
гулкой	ɡˈuɭkʌj
водяного	vʌdʲanˈovʌ
пустынного	pustˈynnʌvʌ
чародейной	tʃʲʌrʌdʲˈejnʌj
небесной	nʲibʲˈesnʌj
королей	kʌrʌɭʲˈej
барханной	barxˈɑnnʌj
орлов	ʌrɭˈof
чародеи	tʃʲʌrʌdʲˈeɪ
брифу	brʲˈifu
похвастаться	pʌxvˈɑstʌtsʌ
поджимается	pʌdʒymˈɑjitsʌ
пилят	pʲˈiɭʲʌt
караванном	kʌravˈɑnnʌm
плавилен	pɭavʲˈiɭʲin
крыш	krˈyʃ
отвальный	ʌtvˈɑɭʲnyj
подъёмников	pʌdjˈɵmnʲikʌf
горновый	ɡʌrnˈovyj
молотов	mˈoɭʌtʌf
разговоров	rʌzɡʌvˈorʌf
фрахта	frˈɑxta
лесопильный	ɭʲisʌpʲˈiɭʲnyj
опилками	ʌpʲˈiɭkʌmʲɪ
пильный	pʲˈiɭʲnyj
клиньев	kɭʲˈinjjif
знахарский	znˈɑxʌrskʲij
сушильный	suʃˈyɭʲnyj
укосе	ukˈosʲi
совете	sʌvʲˈetʲi
жерновов	ʒyrnʌvˈof
снопов	snʌpˈof
лавок	ɭˈɑvʌk
караулов	kʌraˈuɭʌf
смотра	smˈotra
читающим	tʃʲitˈɑjuɕim
сну	snˈu
обетов	ʌbʲˈetʌf
слогов	sɭʌɡˈof
приставкой	prʲistˈɑfkʌj
дефис	dʲifʲˈis
керн	kʲˈern
вар	vˈɑr
тал	tˈɑɭ
вен	vʲˈen
ем	jˈem
орн	ˈorn
ак	ˈɑk
ис	ˈɪs
ейн	jˈejn
ал	ˈɑɭ
ар	ˈɑr
ен	jˈen
лениво	ɭʲinʲˈivʌ
мигу	mʲˈiɡu
расставлены	rasstˈɑvɭʲiny
мера-именных	mʲˈeraɪmʲinnˈyx
цехи	tsˈɛxɪ
водяной	vʌdʲanˈoj
братчины	brˈɑttʃʲiny
вторые	ftʌrˈyjɪ
шпионская	ʃpʲiˈonskʌja
городскую	ɡʌrʌtskˈuju
обходы	ʌpxˈody
праздничным	prˈɑznʲitʃʲnym
дням	dnʲˈɑm
подряде	pʌdrʲˈɑdʲi
фрахт	frˈɑxt
раненые	rˈɑnʲinyjɪ
моровые	mʌrʌvˈyjɪ
начаткам	natʃʲˈɑtkʌm
вины	vʲˈiny
нанимает	nʌnʲimˈɑjit
гонцовая	ɡʌntsˈovʌja
водяная	vʌdʲanˈɑja
поминовение	pʌmʲinʌvʲˈenʲijɪ
организацию	ʌrɡʌnʲizˈɑtsyju
нашёлся	naʃˈoɭsʲʌ
перечисления	pʲirʲitʃʲisɭʲˈenʲija
осаждать	ʌsaʒdˈɑtʲ
слабеют	sɭabʲˈejut
тают	tˈɑjut
кончатся	kˈontʃʲʌtʲsʲʌ
отрядом	ʌtrʲˈɑdʌm
защищать	zʌɕiɕˈɑtʲ
ведёте	vʲidʲˈɵtʲi
приступ	prʲˈistup
ослабленную	ʌsɭˈɑbɭʲinnuju
поддаются	pʌddaˈjutsʌ
плотников	pɭˈotʲnʲikʌf
подняты	pˈodnʲʌty
пополнены	pʌpˈoɭnʲiny
ежедневно	jɪʒydnʲˈevnʌ
какому-то	kakˈomutˈo
пантеоном	pʌntʲiˈonʌm
тёмными	tʲˈɵmnymʲɪ
плавильщик	pɭavʲˈiɭʲɕik
пробу	prˈobu
заброшенную	zabrˈoʃynnuju
чешуями	tʃʲiʃuˈjamʲɪ
светильника	svʲitʲˈiɭʲnʲika
подходы	pʌtxˈody
спящей	spʲˈɑɕij
подменыш	pʌdmʲˈenyʃ
заговорил	zʌɡʌvʌrʲˈiɭ
крону	krˈonu
зелёном	ʑiɭʲˈɵnʌm
саженцы	sˈɑʒyntsy
отыскать	ʌtyskˈɑtʲ
лесничего	ɭʲisʲnʲˈitʃʲivʌ
ткацких	tkˈɑtskʲix
меняльные	mʲinʲˈɑɭʲnyjɪ
паромщик	parˈomɕik
переправ	pʲirʲiprˈɑf
меняльной	mʲinʲˈɑɭʲnʌj
мытари	mˈytʌrʲɪ
зелёных	ʑiɭʲˈɵnyx
печей	pʲitʃʲˈej
утопленник	utˈopɭʲinnʲik
восьмилучевая	vʌsʲmʲiɭˈutʃʲivʌja
верблюжьим	vʲirbɭʲˈuʒjim
погонщик	pʌɡˈonɕik
южного	ˈjuʒnʌvʌ
ледовая	ɭʲidˈovʌja
клыкастый	kɭykˈɑstyj
зимовья	ʑimˈovjja
зелёной	ʑiɭʲˈɵnʌj
волне	vʌɭnʲˈe
юнга	ˈjunɡa
топляк	tʌpɭʲˈɑk
верфь	vʲˈerfʲ
заложила	zʌɭʌʒˈyɭa
дружине	druʒˈynʲi
трубил	trubʲˈiɭ
дружина	druʒˈyna
лазурный	ɭazˈurnyj
зелейные	ʑiɭʲˈejnyjɪ
зелейного	ʑiɭʲˈejnʌvʌ
священной	svʲaɕˈennʌj
пожелтел	pʌʒyɭtʲˈeɭ
тёмно-зелёном	tʲˈɵmnʌʑiɭʲˈɵnʌm
совиный	sʌvʲˈinyj
фонаря	fʌnarʲˈɑ
вышки	vˈyʃkʲɪ
свечник	svʲitʃʲnʲˈik
сочтено	sʌtʃʲtʲinˈo
белая	bʲˈeɭʌja
наследства	nasɭʲˈetstva
несчитанный	nʲiɕˈitʌnnyj
сочтённый	sʌtʃʲtʲˈɵnnyj
несчитанных	nʲiɕˈitʌnnyx
недосчитался	nʲidʌɕitˈɑɭsʲʌ
глазничный	ɡɭaʑnʲˈitʃʲnyj
полуслепой	pʌɭusɭʲipˈoj
смотрящий	smʌtrʲˈɑɕij
щите	ɕitʲˈe
нераненый	nʲiranʲˈenyj
лесничий	ɭʲisʲnʲˈitʃʲij
ранили	rˈɑnʲiɭʲɪ
перекупка	pʲirʲikˈupka
тропный	trˈopnyj
сбившийся	zbʲˈifʃyjsʲʌ
ведущий	vʲidˈuɕij
зеркальном	ʑirkˈɑɭʲnʌm
лицами	ɭʲˈitsʌmʲɪ
одноликий	ʌdnʌɭʲˈikʲij
двуликий	dvuɭʲˈikʲij
подменный	pʌdmʲˈennyj
зеркальной	ʑirkˈɑɭʲnʌj
серебре	sʲirʲibrʲˈe
подмен	pʌdmʲˈen
шёпоты	ʃˈopʌty
ожерелье	ʌʒyrʲˈeɭjjɪ
двухголосый	dvuxɡʌɭˈosyj
безголосый	bʲizɡʌɭˈosyj
червём	tʃʲirvʲˈɵm
буром	bˈurʌm
терпеливые	tʲirpʲiɭʲˈivyjɪ
захваты	zaxvˈɑty
червивый	tʃʲirvʲˈivyj
подточенный	pʌdtˈotʃʲinnyj
проеденный	prʌjˈedʲinnyj
ходовой	xʌdʌvˈoj
лаза	ɭˈɑza
короной	kʌrˈonʌj
червивого	tʃʲirvʲˈivʌvʌ
прорыли	prʌrˈyɭʲɪ
горящий	ɡʌrʲˈɑɕij
вспыхнула	fspˈyxnuɭa
тёмно-синем	tʲˈɵmnʌsʲˈinʲim
водяные	vʌdʲanˈyjɪ
затопленного	zatˈopɭʲinnʌvʌ
затопленной	zatˈopɭʲinnʌj
пробил	prʌbʲˈiɭ
съеденные	sjjˈedʲinnyjɪ
сытый	sˈytyj
жрущий	ʒrˈuɕij
котлу	kʌtɭˈu
стойбища	stˈojbʲiɕʌ
печатный	pʲitʃʲˈɑtnyj
печатник	pʲitʃʲˈɑtʲnʲik
печатной	pʲitʃʲˈɑtnʌj
стрелок	strʲiɭˈok
опоздавший	ʌpʌzdˈɑfʃyj
опустились	ʌpusʲtʲˈiɭʲisʲ
бойцом	bʌjtsˈom
отбита	ʌdbʲˈita
случайному	sɭutʃʲˈɑjnʌmu
куплена	kˈupɭʲina
тридцатидневного	trʲittsatʲˈidnʲivnʌvʌ
культе	kˈuɭʲtʲi
дописано	dʌpʲˈisʌnʌ
приклеивается	prʲikɭʲˈeivʌjitsʌ
разомкнутого	razˈomknutʌvʌ
восходная	vʌsxˈodnʌja
храмовой	xrˈɑmʌvʌj
клятводержцы	kɭʲatvˈodʲirʃtsy
восходной	vʌsxˈodnʌj
разомкнутый	razˈomknutyj
данная	dˈɑnnʌja
холодному	xʌɭˈodnʌmu
выкованное	vˈykʌvʌnnʌjɪ
ликоносные	ɭʲikʌnˈosnyjɪ
горном	ɡˈornʌm
озере	ˈoʑirʲi
толкователи	tʌɭkʌvˈɑtʲiɭʲɪ
полумасках	pʌɭumˈɑskʌx
полумаска	pʌɭumˈɑska
сосна	sʌsnˈɑ
гребне	ɡrʲˈebnʲi
громовые	ɡrʌmʌvˈyjɪ
рассечённым	rʌsʲsʲitʃʲˈɵnnym
солёный	sʌɭʲˈɵnyj
приливной	prʲiɭʲˈivnʌj
пригоршня	prʲˈiɡʌrʃnʲʌ
обходной	ʌpxʌdnˈoj
обходчики	ʌpxˈottʃʲikʲɪ
сломав	sɭʌmˈɑf
обходный	ʌpxˈodnyj
убылью	ˈubyɭjju
пеплоходы	pʲipɭˈoxʌdy
безымянная	bʲizymʲˈɑnnʌja
солнечные	sˈoɭnʲitʃʲnyjɪ
капюшонах	kʌpʲuʃˈonʌx
песочный	pʲisˈotʃʲnyj
потраченный	pʌtrˈɑtʃʲinnyj
мерным	mʲˈernym
упокоения	upʌkʌjˈenʲija
молчальники	mʌɭtʃʲˈɑɭʲnʲikʲɪ
развилке	razvʲˈiɭkʲi
верстовом	vʲirstʌvˈom
говорящему	ɡʌvʌrʲˈɑɕimu
зашитая	zaʃˈytʌja
червоточные	tʃʲirvʌtˈotʃʲnyjɪ
осевшая	ʌsʲˈefʃʌja
нора	nʌrˈɑ
копатели	kʌpˈɑtʲiɭʲɪ
выпрямляющие	vyprʲamɭʲˈɑjuɕijɪ
засыпать	zʌsypˈɑtʲ
бурав	burˈɑf
вермиса	vʲirmʲˈisa
пропускает	prʌpuskˈɑjit
бурым	bˈurym
охотничьей	ʌxˈotʲnʲitʃʲjjij
рассечённой	rʌsʲsʲitʃʲˈɵnnʌj
кремень	krʲimʲˈenʲ
северной	sʲˈevʲirnʌj
зеркальщики	ʑirkˈɑɭʲɕikʲɪ
двойных	dvʌjnˈyx
масках	mˈɑskʌx
селуны	sʲiɭˈuny
оссуарий	ʌssuˈɑrʲij
бирками	bʲˈirkʌmʲɪ
несчитанными	nʲiɕˈitʌnnymʲɪ
бирка	bʲˈirka
шептуны	ʃyptunˈy
повышать	pʌvyʃˈɑtʲ
тессы	tʲˈessy
пеплогрудые	pʲipɭʌɡrˈudyjɪ
выжженный	vˈyʒʒynnyj
пепельники	pʲipʲˈeɭʲnʲikʲɪ
гримма	ɡrʲˈimma
утробные	utrˈobnyjɪ
замерзает	zʌmʲirzˈɑjit
повитухи	pʌvʲitˈuxɪ
бурых	bˈuryx
приплода	prʲipɭˈoda
стоками	stˈokʌmʲɪ
дознаватели	dʌznavˈɑtʲiɭʲɪ
кожаных	kˈoʒʌnyx
фартуках	fˈɑrtukʌx
скарна	skˈɑrna
утопленницы	utˈopɭʲinnʲitsy
распущенными	raspˈuɕinnymʲɪ
волосами	vʌɭʌsˈɑmʲɪ
кричать	krʲitʃʲˈɑtʲ
перьевых	pʲirɪjjivˈyx
угольная	ˈuɡʌɭʲnʌja
дымит	dymʲˈit
угольщики	ˈuɡʌɭʲɕikʲɪ
губами	ɡubˈɑmʲɪ
высечено	vˈysʲitʃʲinʌ
отвечающие	ʌtvʲitʃʲˈɑjuɕijɪ
кивком	kʲifkˈom
высохшая	vˈysʌxʃʌja
принимающие	prʲinʲimˈɑjuɕijɪ
досыта	dˈosyta
обуви	ˈobuvʲɪ
клейме	kɭʲijmʲˈe
погребальных	pʌɡrʲibˈɑɭʲnyx
оменоса	ʌmʲˈenʌsa
карниз	karnʲˈis
обрывом	ʌbrˈyvʌm
подрезанным	pʌdrʲˈezʌnnym
аэрона	aɛrˈona
полпути	pʌɭputʲˈɪ
стигоса	sʲtʲiɡˈosa
освещённый	ʌsvʲiɕˈɵnnyj
половинных	pʌɭʌvʲˈinnyx
половинный	pʌɭʌvʲˈinnyj
сломанный	sɭˈomʌnnyj
устояли	ustʌˈjaɭʲɪ
сотники	sˈotʲnʲikʲɪ
переломленным	pʲirʲiɭˈomɭʲinnym
отступать	ʌtstupˈɑtʲ
переломленное	pʲirʲiɭˈomɭʲinnʌjɪ
древко	drʲˈefkʌ
орхана	ʌrxˈɑna
горькой	ɡˈorɪkʌj
отравители	ʌtravʲˈitʲiɭʲɪ
перчатках	pʲirtʃʲˈɑtkʌx
локтя	ɭˈoktʲʌ
прорезь	prˈorʲisʲ
саркиса	sarkʲˈisa
разорванная	razˈorvʌnnʌja
разрывщики	razrˈyfɕikʲɪ
обрубленной	ʌbrˈubɭʲinnʌj
куорры	kuˈorry
ростовщический	rʌstʌfɕˈitʃʲiskʲij
заимодавцы	zʌimʌdˈɑftsy
бельзура	bʲiɭʲzˈura
переписывается	pʲirʲipʲˈisyvʌjitsʌ
рукавами	rukavˈɑmʲɪ
зашитый	zaʃˈytyj
рукав	rukˈɑf
иренны	ɪrʲˈenny
открывали	ʌtkryvˈɑɭʲɪ
ожидающие	ʌʒydˈɑjuɕijɪ
незажжённым	nʲizaʒʒˈonnym
незажжённый	nʲizaʒʒˈonnyj
зарута	zarˈuta
исполняется	ɪspʌɭnʲˈɑjitsʌ
приводим	prʲivˈodʲim
звались	zvˈɑɭʲisʲ
росана	rʌsˈɑna
утренние	ˈutrʲinnʲijɪ
восходном	vʌsxˈodnʌm
росой	rʌsˈoj
росяная	rʌsʲˈɑnʌja
росаны	rʌsˈɑny
фляге	fɭʲˈɑɡʲi
оркад	ʌrkˈɑt
межевые	mʲiʒyvˈyjɪ
плече	pɭʲitʃʲˈe
каменщики	kˈɑmʲinɕikʲɪ
сдвигать	zdvʲiɡˈɑtʲ
оркада	ʌrkˈɑda
велена	vʲiɭʲˈena
жатвенная	ʒˈɑtvʲinnʌja
снопы	snʌpˈy
снопари	snʌpˈɑrʲɪ
гумно	ɡumnˈo
сноп	snˈop
жницы	ʒnʲˈitsy
велены	vʲiɭʲˈeny
стрибар	strʲˈibʌr
дует	dˈujit
ветреном	vʲˈetrʲinʌm
стрибара	strʲibˈɑra
очажная	ʌtʃʲˈɑʒnʌja
хозяйки	xʌʑˈɑjkʲɪ
кочергой	kʌtʃʲirɡˈoj
поднимать	pʌdnʲimˈɑtʲ
теплы	tʲipɭˈy
солван	sˈoɭvʌn
отмельный	ʌtmʲˈeɭʲnyj
белыми	bʲˈeɭymʲɪ
солвана	sʌɭvˈɑna
гремен	ɡrʲˈemʲin
клеймёные	kɭʲijmʲˈɵnyjɪ
натощак	nʌtʌɕˈɑk
гремена	ɡrʲimʲˈena
лутра	ɭˈutra
зверовая	zvʲirʌvˈɑja
охотницы	ʌxˈotʲnʲitsy
шкурах	ʃkˈurʌx
идар	ˈɪdʌr
тропник	trʌpnʲˈik
тропники	trʌpnʲˈikʲɪ
пирамидку	pʲiramʲˈitku
посохами	pˈosʌxʌmʲɪ
идара	ɪdˈɑra
нейма	nʲˈejma
высохнуть	vˈysʌxnutʲ
колодезники	kʌɭˈodʲiʑnʲikʲɪ
деревянным	dʲirʲivʲˈɑnnym
журавлём	ʒuravɭʲˈɵm
неймы	nʲˈejmy
правин	prˈɑvʲin
весовщики	vʲisʌfɕikʲˈɪ
весах	vʲisˈɑx
судьи	sˈudʲjɪ
правина	pravʲˈina
хлада	xɭˈɑda
первоснежная	pʲirvʌsʲnʲˈeʒnʌja
хлады	xɭˈɑdy
медара	mʲidˈɑra
пчелиная	ptʃʲiɭʲˈinʌja
сады	sadˈy
пасека	pˈɑsʲika
сетках	sʲˈetkʌx
сотовый	sˈotʌvyj
медары	mʲidˈɑry
брадан	brˈɑdʌn
брадана	bradˈɑna
ирена	ɪrʲˈena
фонарная	fʌnˈɑrnʌja
заблудших	zabɭˈutʃyx
заблудшие	zabɭˈutʃyjɪ
ирены	ɪrʲˈeny
асхар	ˈɑsxʌr
барханный	barxˈɑnnyj
мареве	mˈɑrʲivʲi
мираж	mʲirˈɑʃ
песочная	pʲisˈotʃʲnʌja
асхара	asxˈɑra
тарнак	tarnˈɑk
уступный	ustˈupnyj
лавины	ɭavʲˈiny
эховые	ɛxˈovyjɪ
гулким	ɡˈuɭkʲim
гротом	ɡrˈotʌm
грот	ɡrˈot
эховой	ɛxˈovʌj
тарнака	tarnˈɑka
лиана	ɭʲiˈɑna
плотогоны	pɭʌtʌɡˈony
излучина	ɪzɭˈutʃʲina
плотогонки	pɭʌtˈoɡʌnkʲɪ
мелеет	mʲiɭʲˈejit
астрен	ˈɑstrʲin
астрена	astrʲˈena
мнема	mnʲˈema
памятливая	pˈɑmʲʌtɭʲivʌja
вырезать	vyrʲizˈɑtʲ
ножами	nʌʒˈɑmʲɪ
мнемы	mnʲˈemy
забытое	zabˈytʌjɪ
безмолвная	bʲizmˈoɭvnʌja
описью	ˈopʲisʲjju
вписать	fpʲisˈɑtʲ
несчитанного	nʲiɕitˈɑnnʌvʌ
шрамар	ʃrˈɑmʌr
носящий	nʌsʲˈɑɕij
шрамы	ʃrˈɑmy
зарок	zarˈok
засечками	zasʲˈetʃʲkʌmʲɪ
засечка	zasʲˈetʃʲka
меченые	mʲˈetʃʲinyjɪ
засечный	zasʲˈetʃʲnyj
шрамара	ʃramˈɑra
кровоточат	krʌvʌtʌtʃʲˈɑt
осколла	ʌskˈoɭɭa
двоящаяся	dvʌˈjaɕʌjasʲʌ
осколке	ʌskˈoɭkʲi
осколочники	ʌskʌɭˈotʃʲnʲikʲɪ
разбитых	razbʲˈityx
осколлы	ʌskˈoɭɭy
плесень	pɭʲˈesʲinʲ
мохнатыми	mʌxnˈɑtymʲɪ
мохнатая	mʌxnˈɑtʌja
плесневика	pɭʲisʲnʲˈevʲika
углара	uɡɭˈɑra
тинара	tʲinˈɑra
тина	tʲˈina
тинары	tʲinˈɑry
жорв	ʒˈorf
ненасытный	nʲinasˈytnyj
жор	ʒˈor
кургане	kurɡˈɑnʲi
чёрными	tʃʲˈɵrnymʲɪ
зубами	zubˈɑmʲɪ
жорва	ʒˈorva
срокан	srˈokʌn
остановленными	ʌstanˈovɭʲinnymʲɪ
срокана	srʌkˈɑna
отодвигается	ʌtʌdvʲiɡˈɑjitsʌ
заимка	zaˈimka
долговое	dʌɭɡʌvˈojɪ
заимки	zaˈimkʲɪ
многоруких	mnʌɡʌrˈukʲix
отъём	ʌtjˈɵm
делители	dʲiɭʲˈitʲiɭʲɪ
цельным	tsˈɛɭʲnym
тишь	tʲˈiʃ
проведённая	prʌvʲidʲˈɵnnʌja
обводит	ʌbvˈodʲit
пропуск	prˈopusk
отсечение	ʌtʲsʲitʃʲˈenʲijɪ
мелоносцы	mʲiɭˈonʌstsy
отсечённой	ʌtʲsʲitʃʲˈɵnnʌj
переступить	pʲirʲistupʲˈitʲ
досмотрщики	dʌsmˈotrɕikʲɪ
тридцатидневным	trʲittsatʲˈidnʲivnym
знающий	znˈɑjuɕij
угоден	uɡˈodʲin
сфере	sfʲˈerʲi
малым	mˈɑɭym
подаяние	pʌdaˈjanʲijɪ
удвоен	udvˈojin
справке	sprˈɑfkʲi
незнакомому	nʲiznakˈomʌmu
проливают	prʌɭʲivˈɑjut
рассветного	rassvʲˈetnʌvʌ
усиливается	usʲˈiɭʲivʌjitsʌ
замолвит	zamˈoɭvʲit
богом	bˈoɡʌm
тарвен	tˈɑrvʲin
ирвен	ˈɪrvʲin
сайла	sˈɑjɭa
корвак	kʌrvˈɑk
цехам	tsyxˈɑm
слухачи	sɭuxatʃʲˈɪ
велларов	vʲiɭɭˈɑrʌf
эдмар	ˈɛdmʌr
анна	ˈɑnna
роланд	rʌɭˈɑnt
стефан	sʲtʲˈefʌn
короля	kʌrʌɭʲˈɑ
деньгах	dʲinʲɡˈɑx
писари	pʲˈisʌrʲɪ
речное	rʲitʃʲnˈojɪ
гарр	ɡˈɑrr
выберет	vˈybʲirʲit
иша	ˈɪʃa
тенеходка	tʲinʲˈexʌtka
кроак	krʌˈɑk
пятипалый	pʲʌtʲipˈɑɭyj
троллей	trʌɭɭʲˈej
гать	ɡˈɑtʲ
сходов	sxˈodʌf
халифский	xaɭʲˈifskʲij
рашид	raʃˈyt
лейла	ɭʲˈejɭa
юсуф	jusˈuf
караванщиков	kʌravˈɑnɕikʌf
джинн-советник	dʒˈynnsʌvʲˈetʲnʲik
саркат	sarkˈɑt
пониже	pʌnʲˈiʒy
солнечное	sˈoɭnʲitʃʲnʌjɪ
торвун	tˈorvun
ингра	ˈɪnɡra
бьёрн	bjˈɵrn
ульв	ˈuɭʲf
охоту	ʌxˈotu
дани	dˈɑnʲɪ
снежные	sʲnʲˈeʒnyjɪ
мара	mˈɑra
выберут	vˈybʲirut
дорн	dˈorn
ракушечница	rʌkuʃˈɛtʃʲnʲitsa
дешёвой	dʲiʃˈovʌj
кровавого	krʌvˈɑvʌvʌ
гракх	ɡrˈɑkx
ургаш	ˈurɡʌʃ
мокра	mʌkrˈɑ
тарк	tˈɑrk
однорукий	ʌdnʌrˈukʲij
побратим	pʌbratʲˈim
весну	vʲisnˈu
ноздри	nˈozdrʲɪ
кровавое	krʌvˈɑvʌjɪ
друида	druˈida
веяна	vʲˈejana
орин	ˈorʲin
тала	tˈɑɭa
совиная	sʌvʲˈinʌja
лесорубы	ɭʲisʌrˈuby
совиные	sʌvʲˈinyjɪ
перья	pʲˈerɪjja
окраинных	ʌkrˈɑinnyx
лесорубов	ɭʲisʌrˈubʌf
плавильный	pɭavʲˈiɭʲnyj
ольгримов	ʌɭʲɡrʲˈimʌf
хельга	xˈeɭʲɡa
литейщик	ɭʲitʲˈejɕik
приёмный	prʲiˈɵmnyj
мастеров	mʌsʲtʲirˈof
учётчики	utʃʲˈɵttʃʲikʲɪ
синодская	sʲinˈotskʌja
верреев	vʲirrʲˈejif
иона	ɪˈona
обсерваторию	ʌpsʲirvatˈorʲiju
дамир	dˈɑmʲir
стекольные	sʲtʲikˈoɭʲnyjɪ
сельм	sʲˈeɭʲm
несрочные	nʲisrˈotʃʲnyjɪ
отвесов	ʌtvʲˈesʌf
часовое	tʃʲʌsʌvˈojɪ
дворовый	dvʌrˈovyj
мельбруков	mʲiɭʲbrˈukʌf
ханна	xˈɑnna
тимо	tʲˈimʌ
копыто	kʌpˈytʌ
кентавр	kʲintˈɑvr
обозчики	ʌbˈoɕikʲɪ
двору	dvʌrˈu
возчики-слухачи	vˈoɕikʲɪsɭuxatʃʲˈɪ
обозчиков	ʌbˈoɕikʌf
горловой	ɡʌrɭʌvˈoj
ашкеров	aʃkʲˈerʌf
сирра	sʲˈirra
гарм	ɡˈɑrm
карьеры	kʌrɪjjˈery
закрыватели	zʌkryvˈɑtʲiɭʲɪ
заглушить	zʌɡɭuʃˈytʲ
нольвар	nˈoɭʲvʌr
ирн	ˈɪrn
веста	vʲˈesta
несчитанные	nʲiɕˈitʌnnyjɪ
вписанными	fpʲˈisʌnnymʲɪ
карх	kˈɑrx
ранит	rˈɑnʲit
сарна	sˈɑrna
гуул	ɡˈuuɭ
выводки	vˈyvʌtkʲɪ
оспаривают	ʌspˈɑrʲivʌjut
одноликие	ʌdnʌɭʲˈikʲijɪ
подменённые	pʌdmʲinʲˈɵnnyjɪ
посольствах	pʌsˈoɭʲstvʌx
диархов	dʲiˈɑrxʌf
ртуть	rtˈutʲ
королева	kʌrʌɭʲˈeva
короне	kʌrˈonʲi
плес	pɭʲˈes
осушить	ʌsuʃˈytʲ
столицами	stʌɭʲˈitsʌmʲɪ
изора	ɪzˈora
свея	svʲˈeja
погасшая	pʌɡˈɑʃʃʌja
горящие	ɡʌrʲˈɑɕijɪ
тления	tɭʲˈenʲija
тлеть	tɭʲˈetʲ
ковена	kʌvʲˈena
улла	ˈuɭɭa
утонет	utˈonʲit
тин	tʲˈin
омуты	ˈomuty
приносить	prʲinʌsʲˈitʲ
ненасытных	nʲinasˈytnyx
гроум	ɡrˈoum
жора	ʒˈora
сытые	sˈytyjɪ
носы	nʌsˈy
голодна	ɡʌɭʌdnˈɑ
вожди	vʌʒdʲˈɪ
конклава	kʌnkɭˈɑva
омен	ˈomʲin
печатница	pʲitʃʲˈɑtʲnʲitsa
бельзуровых	bʲiɭʲzurˈovyx
ассар	ˈɑssʌr
ниса	nʲˈisa
залоговая	zaɭˈoɡʌvʌja
заклады	zakɭˈɑdy
тхор	txˈor
взыскание	vzyskˈɑnʲijɪ
списанные	spʲˈisʌnnyjɪ
вычеркнуть	vˈytʃʲirknutʲ
взыскать	vzyskˈɑtʲ
долговая	dʌɭɡʌvˈɑja
тарругов	tarrˈuɡʌf
тарруг	tarrˈuk
делящий	dʲiɭʲˈɑɕij
удержала	udʲirʒˈɑɭa
вешна	vʲˈeʃna
онг	ˈonk
неделимые	nʲidʲiɭʲˈimyjɪ
передельное	pʲirʲidʲˈeɭʲnʌjɪ
стиговых	sʲtʲiɡˈovyx
илва	ˈɪɭva
ярусная	ˈjarusnʌja
некто	nʲˈektʌ
поднявшиеся	pʌdnʲˈɑfʃyjisʲʌ
живя	ʒyvʲˈɑ
донное	dˈonnʌjɪ
проводящая	prʌvʌdʲˈɑɕʌja
доверят	dʌvʲˈerʲʌt
кирн	kʲˈirn
досмотрщик	dʌsmˈotrɕik
сая	sˈɑja
отсечённая	ʌtʲsʲitʃʲˈɵnnʌja
заходящие	zʌxʌdʲˈɑɕijɪ
проводящие	prʌvʌdʲˈɑɕijɪ
соляное	sʌɭʲanˈojɪ
княжество	knʲˈɑʒystvʌ
князь-солевар	knʲˈɑsʲsʌɭʲivˈɑr
сушёная	suʃˈonʌja
перевальное	pʲirʲivˈɑɭʲnʌjɪ
воеводство	vʌjivˈotstvʌ
старшин	starʃˈyn
озёрная	ʌʑˈɵrnʌja
плёсов	pɭʲˈɵsʌf
плёсы	pɭʲˈɵsy
выборный	vˈybʌrnyj
рыбаков	rybakˈof
степное	sʲtʲipnˈojɪ
ханство	xˈɑnstvʌ
ковыльного	kʌvˈyɭʲnʌvʌ
ковыльный	kʌvˈyɭʲnyj
хан	xˈɑn
табунщиков	tabˈunɕikʌf
юрты	ˈjurty
погост	pʌɡˈost
курганов	kurɡˈɑnʌf
курганный	kurɡˈɑnnyj
